tweet_id,timestamp_utc,content,like_count,retweet_count,reply_count,hashtags,mentions,url,query
2011127688556396979,2026-01-13T17:26:20.000Z,"Situation of Stock Market nowadays 
#StockMarketIndia #Nifty50 #NiftyBank",1,0,0,"#StockMarketIndia,#Nifty50,#NiftyBank",,https://x.com/SUDHIRT64354301/status/2011127688556396979,combined_finance
2011127344849895516,2026-01-13T17:24:58.000Z,"#Nifty50 #Nifty Nifty50 Stocks NR7, NR4, IB, OB",1,0,0,"#Nifty50,#Nifty",,https://x.com/11235813T/status/2011127344849895516,combined_finance
2011127170601795689,2026-01-13T17:24:17.000Z,"#Nifty #Banknifty #Niftyfuture #BankniftyFut 
#Giftnifty
Today movement predicted yesterday only
Nifty bounced more than 100 points 
Keep in mind today's banknifty low break again 
Then it wil attempt 60000
Final bottom looks 58300/58000

9916878264",1,0,0,"#Nifty,#Banknifty,#Niftyfuture,#BankniftyFut,#Giftnifty",,https://x.com/mahant6/status/2011127170601795689,combined_finance
2011127052339200050,2026-01-13T17:23:48.000Z,"GoCharting via 
GoCharting.com 
gocharting.com/sh/33cae9cb-01
… #Stocks #Cryptocurrency #Sensex #Nifty #Index #Bitcoin",1,0,0,"#Stocks,#Cryptocurrency,#Sensex,#Nifty,#Index,#Bitcoin",,https://x.com/RakeshYada66984/status/2011127052339200050,combined_finance
2011126901587534285,2026-01-13T17:23:12.000Z,"Nifty may again retest 25450 in Jan series!!!

#Nifty50 #StockMarketIndia #OptionsTrading #nifty",0,0,0,"#Nifty50,#StockMarketIndia,#OptionsTrading,#nifty",,https://x.com/rsenthil1103/status/2011126901587534285,combined_finance
2011125668789305444,2026-01-13T17:18:19.000Z,#nifty #banknifty,1,0,0,"#nifty,#banknifty",,https://x.com/Archanabhat2021/status/2011125668789305444,combined_finance
2011125178009600046,2026-01-13T17:16:21.000Z,"Sensex expiry for tomorrow 

#Sensex 
#Nifty",0,0,0,"#Sensex,#Nifty",,https://x.com/TradePowerful/status/2011125178009600046,combined_finance
2011124664572264569,2026-01-13T17:14:19.000Z,"View for Tomorrow 14-01-2026 of SENSEX.

#NIFTY #BANKNIFTY #SENSEX #IndianStockMarket #StockMarketIndia #IntradayTrading #OptionsTrading #FuturesTrading #DerivativesMarket #IndexTrading #MarketView #MarketAnalysis #PriceAction #TechnicalAnalysis #SmartMoney #TradingPsychology",0,0,0,"#NIFTY,#BANKNIFTY,#SENSEX,#IndianStockMarket,#StockMarketIndia,#IntradayTrading,#OptionsTrading,#FuturesTrading,#DerivativesMarket,#IndexTrading,#MarketView,#MarketAnalysis,#PriceAction,#TechnicalAnalysis,#SmartMoney,#TradingPsychology",,https://x.com/Maverick_Nik/status/2011124664572264569,combined_finance
2011124285847585037,2026-01-13T17:12:49.000Z,"youtu.be/0PDqd4T5u_w?si
…
@BaapofOption
 @TA_Purvesh
 sir naya channel bnaya h nifty ke levels dalta hu support milega kya thoda sa 
#Nifty50 #NIFTYFUTURE #OptionsTrading",0,0,0,"#Nifty50,#NIFTYFUTURE,#OptionsTrading","@BaapofOption,@TA_Purvesh",https://x.com/StockAnalyst007/status/2011124285847585037,combined_finance
2011123868489146839,2026-01-13T17:11:09.000Z,"January 2026 is off to a solid start!

Focusing on a mix of monthly trades and yearly positions. 
 Net P&L: ₹27k
 Win rate fueled by Monthly Options (~₹16k profit).
 Consistent Asset Accumulation: Added 161 qty of Nifty & 20 qty of Gold ETF

#Trading #Nifty50 #Investing",0,0,0,"#Trading,#Nifty50,#Investing",,https://x.com/raknas110188/status/2011123868489146839,combined_finance
